Year,Mintmark,"€0,01","€0,02","€0,05","€0,10","€0,20","€0,50","€1,00","€2,00"
2014,,70000,70000,70000,70000,70000,70000,70000,70000
2015,,40000,40000,40000,40000,40000,40000,40000,40000
2016,,35000,35000,35000,35000,35000,35000,35000,35000
2017,,22000,22000,22000,22000,22000,22000,22000,22000
2018,,20000,20000,20000,20000,20000,20000,20000,20000
2019,,15000,15000,15000,15000,15000,15000,15000,15000
2020,,12000,12000,12000,12000,12000,12000,12000,12000
2021,,10500,10500,10500,10500,10500,10500,10500,10500
2022,,10500,10500,10500,10500,10500,10500,10500,10500
2023,,10500,10500,10500,10500,10500,10500,10500,10500
2024,,,,,,,,,
2025,,,,,,,,,
